type	x	y	z	tag	br
DS	-136	-617	0	2	1
DCP	-156	-590	0	2	1
DCP	-222	-585	0	2	1
DCP	-201	-566	0	2	1
DCP	-221	-560	0	2	1
DCP	-258	-571	0	2	1
DCP	-277	-571	0	2	1
DCP	-296	-602	0	2	1
DCP	-238	-623	0	2	1
DCP	-315	-583	0	2	1
DCP	-350	-558	0	2	1
DCP	-371	-553	0	2	1
DCP	-329	-513	0	2	1
DCP	-291	-545	0	2	1
DCP	-292	-494	0	2	1
DCP	-293	-474	0	2	1
DCP	-328	-467	0	2	1
DCP	-333	-452	0	2	1
DCP	-367	-480	0	2	1
DCP	-348	-426	0	2	1
DCP	-356	-387	0	2	1
DCP	-341	-386	0	2	1
DCP	-306	-429	0	2	1
DCP	-274	-419	0	2	1
DCP	-261	-396	0	2	1
DCP	-229	-409	0	2	1
DCP	-196	-391	0	2	1
DCP	-169	-423	0	2	1
DCP	-127	-442	0	2	1
DCP	-167	-461	0	2	1
DCP	-230	-472	0	2	1
DCP	-225	-490	0	2	1
DCP	-234	-515	0	2	1
DCP	-149	-496	0	2	1
DCP	-160	-546	0	2	1
DCP	-238	-331.5	-5	2	1
DCP	-205	-333.5	-5	2	1
DCP	-174	-358.5	-5	2	1
DCP	-153	-372.5	-5	2	1
DCP	-126	-347.5	-5	2	1
DCP	-139	-336.5	-5	2	1
DCP	-175	-285.5	-5	2	1
DCP	-228	-306.5	-5	2	1
DCP	-277	-332.5	-5	2	1
DCP	-341	-284.5	-5	2	1
DCP	-360	-300.5	-5	2	1
DCP	-295	-265.5	-5	2	1
DCP	-292	-231.5	-5	2	1
DCP	-329	-214.5	-5	2	1
DCP	-339	-210.5	-5	2	1
DCP	-369	-160.5	-5	2	1
DCP	-310	-182.5	-5	2	1
DCP	-295	-142.5	-5	2	1
DCP	-278	-198.5	-5	2	1
DCP	-231	-210.5	-5	2	1
DCP	-226	-216.5	-5	2	1
DCP	-212	-218.5	-5	2	1
DCP	-199	-238.5	-5	2	1
DCP	-156	-241.5	-5	2	1
DCP	-154	-174.5	-5	2	1
DCP	-193	-153.5	-5	2	1
DCP	-205	-160.5	-5	2	1
DCP	-231	-146.5	-5	2	1
DCP	-232	-70.5	-10	2	1
DCP	-227	-118.5	-10	2	1
DCP	-253	-119.5	-10	2	1
DCP	-307	-100.5	-10	2	1
DCP	-354	-89.5	-10.5	2	1
DCP	-373	-67.5	-6	2	1
DCP	-357	-25.5	-6	2	1
DCP	-347	-10.5	-6	2	1
DCP	-348	18.5	-6	2	1
DCP	-318	-8.5	-6	2	1
DCP	-290	-20.5	-6	2	1
DCP	-313	-52.5	-6	2	1
DCP	-282	-69.5	-6	2	1
DCP	-262	-47.5	-6	2	1
DCP	-289	35.5	-6	2	1
DCP	-331	42.5	-6	2	1
DCP	-302	75.5	-6	2	1
DCP	-368	94.5	-6	2	1
DCP	-270	73.5	-6	2	1
DCP	-243	47.5	-6	2	1
DCP	-217	95.5	-6	2	1
DCP	-198	95.5	-6	2	1
DCP	-168	72.5	-6	2	1
DCP	-170	66.5	-6	2	1
DCP	-149	40.5	-6	2	1
DCP	-190	26.5	-6	2	1
DCP	-202	-2.5	-6	2	1
DCP	-185	-20.5	-6	2	1
DCP	-154	-49.5	-6	2	1
DCP	-169	-72.5	-6	2	1
DCP	-279	156.5	-6	2	1
DCP	-281	190.5	-6	2	1
DCP	-322	200.5	-6	2	1
DCP	-344	210.5	-6	2	1
DCP	-361	164.5	-6	2	1
DCP	-329	139.5	-6	2	1
DCP	-333	105.5	-6	2	1
DCP	-192	141.5	-6	2	1
DCP	-215	175.5	-6	2	1
DCP	-185	190.5	-6	2	1
DCP	-159	188.5	-6	2	1
DCP	-152	247.5	-6	2	1
DCP	-162	263.5	-6	2	1
DCP	-179	245.5	-6	2	1
DCP	-218	266.5	-6	2	1
DCP	-192	284.5	-6	2	1
DCP	-186	311.5	-6	2	1
DCP	-258	297.5	-6	2	1
DCP	-295	309.5	-6	2	1
DCP	-362	286.5	-6	2	1
DCP	-323	240.5	-6	2	1
DCP	-295	252.5	-6	2	1
DCP	-256	227.5	-6	2	1
DCP	-217	346	-6	2	1
DCP	-174	328	-6	2	1
DCP	-267	342	-6	2	1
DCP	-309	357	-6	2	1
DCP	-314	348	-6	2	1
DCP	-364	360	-6	2	1
DCP	-318	416	0	2	1
DCP	-243	382	0	2	1
DCP	-238	421	0	2	1
DCP	-163	355	0	2	1
DCP	-174	426	0	2	1
DCP	-141	427	0	2	1
DCP	-216	461	0	2	1
DCP	-192	489	0	2	1
DCP	-199	515	0	2	1
DCP	-227	539	0	2	1
DCP	-252	549	0	2	1
DCP	-251	521	0	2	1
DCP	-279	499	0	2	1
DCP	-310	472	0	2	1
DCP	-337	+462	0	2	1
DCP	-350	456	0	2	1
DCP	-281	593	0	2	1
DCP	-281	577	0	2	1
DCP	-304	576	0	2	1
DCP	-304	588	0	2	1
DCP	-342	595	0	2	1
DCP	-297	650	0	2	1
DCP	-246	651	0	2	1
DCP	-213	623	0	2	1
DCP	-144	625	0	2	1
DCP	-200	685	0	2	1
DCP	-206	696	0	2	1
DCP	-186	745	0	2	1
DCP	-132	757	0	2	1
DCP	-188	773	0	2	1
DCP	-244	752	0	2	1
DCP	-283	765	4.5	2	1
DCP	-306	746	4.5	2	1
DCP	-351	756	4.5	2	1
DCP	-367	743	4.5	2	1
DCP	-359	705	4.5	2	1
DCP	-223	815	4.5	2	1
DCP	-128	817	4.5	2	1
DCP	-135	861	4.5	2	1
DCP	-182	883	4.5	2	1
DCP	-231	856	4.5	2	1
DCP	-337	838	4.5	2	1
DCP	-357	827	4.5	2	1
DCP	-353	842	4.5	2	1
DCP	-367	874	4.5	2	1
DCP	-290	922	4.5	2	1
DCP	-240	945	4.5	2	1
DCP	-229	949	4.5	2	1
DCP	-169	921	4.5	2	1
DCP	-130	932	4.5	2	1
DCP	-300	986	4.5	2	1
DCP	-337	942	4.5	2	1
DCP	-361	938	4.5	2	1
DCP	-206	1008	4.5	2	1
DCP	-299	1015	4.5	2	1
DCP	-308	1036	4.5	2	1
DCP	-246	1009	13.5	2	1
DCP	-168	1028	13.5	2	1
DCP	-177	1002	13.5	2	1
DCP	-216	932	11.5	2	1
DCP	-268	835	11.5	2	1
DCP	-188	1074.5	12	2	1
DCP	-149	1125.5	12	2	1
DCP	-249	1073.5	12	2	1
DCP	-259	1081.5	12	2	1
DCP	-313	1095.5	12	2	1
DCP	-296	1112.5	12	2	1
DCP	-355	1096.5	12	2	1
DCP	-365	1060.5	12	2	1
DCP	-336	1135.5	12	2	1
DCP	-355	1175.5	12	2	1
DCP	-280	1190.5	12	2	1
DCP	-260	1196.5	12	2	1
DCP	-221	1168.5	12	2	1
DCP	-185	1182.5	12	2	1
DCP	-192	1203.5	12	2	1
DCP	-148	1211.5	12	2	1
DCP	-191	1288.5	12	2	1
DCP	-228	1279.5	12	2	1
DCP	-299	1254.5	12	2	1
DCP	-344	1280.5	12	2	1
DCP	-353	1270.5	12	2	1
DCP	-196	1292.5	10.5	2	1
DCP	-162	1330.5	10.5	2	1
DCP	-134	1359.5	10.5	2	1
DCP	-171	1378.5	10.5	2	1
